Category	Field	Description
SOCIAL	SOCIAL-HC03_VC104	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC04_VC104	Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC01_VC106	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
SOCIAL	SOCIAL-HC02_VC106	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
SOCIAL	SOCIAL-HC03_VC106	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
SOCIAL	SOCIAL-HC01_VC107	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC02_VC107	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC03_VC107	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC04_VC107	Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC01_VC109	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
SOCIAL	SOCIAL-HC02_VC109	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
SOCIAL	SOCIAL-HC03_VC109	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
SOCIAL	SOCIAL-HC01_VC110	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC02_VC110	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC03_VC110	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC04_VC110	Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC01_VC112	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
SOCIAL	SOCIAL-HC02_VC112	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
SOCIAL	SOCIAL-HC03_VC112	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
SOCIAL	SOCIAL-HC01_VC113	Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC02_VC113	Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC03_VC113	Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC04_VC113	Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
SOCIAL	SOCIAL-HC01_VC117	Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over
SOCIAL	SOCIAL-HC02_VC117	Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over
SOCIAL	SOCIAL-HC03_VC117	Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over
SOCIAL	SOCIAL-HC01_VC118	Estimate; RESIDENCE 1 YEAR AGO - Same house
SOCIAL	SOCIAL-HC02_VC118	Margin of Error; RESIDENCE 1 YEAR AGO - Same house
SOCIAL	SOCIAL-HC03_VC118	Percent; RESIDENCE 1 YEAR AGO - Same house
SOCIAL	SOCIAL-HC04_VC118	Percent Margin of Error; RESIDENCE 1 YEAR AGO - Same house
SOCIAL	SOCIAL-HC01_VC119	Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S.
SOCIAL	SOCIAL-HC02_VC119	Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S.
SOCIAL	SOCIAL-HC03_VC119	Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S.
SOCIAL	SOCIAL-HC04_VC119	Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S.
SOCIAL	SOCIAL-HC01_VC120	Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
SOCIAL	SOCIAL-HC02_VC120	Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
SOCIAL	SOCIAL-HC03_VC120	Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
SOCIAL	SOCIAL-HC04_VC120	Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Same county
SOCIAL	SOCIAL-HC01_VC121	Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
SOCIAL	SOCIAL-HC02_VC121	Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
SOCIAL	SOCIAL-HC03_VC121	Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
SOCIAL	SOCIAL-HC04_VC121	Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county
SOCIAL	SOCIAL-HC01_VC122	Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
SOCIAL	SOCIAL-HC02_VC122	Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
SOCIAL	SOCIAL-HC03_VC122	Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
SOCIAL	SOCIAL-HC04_VC122	Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Same state
SOCIAL	SOCIAL-HC01_VC123	Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
SOCIAL	SOCIAL-HC02_VC123	Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
SOCIAL	SOCIAL-HC03_VC123	Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
SOCIAL	SOCIAL-HC04_VC123	Percent Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S. - Different county - Different state
SOCIAL	SOCIAL-HC01_VC124	Estimate; RESIDENCE 1 YEAR AGO - Abroad
SOCIAL	SOCIAL-HC02_VC124	Margin of Error; RESIDENCE 1 YEAR AGO - Abroad
SOCIAL	SOCIAL-HC03_VC124	Percent; RESIDENCE 1 YEAR AGO - Abroad
SOCIAL	SOCIAL-HC04_VC124	Percent Margin of Error; RESIDENCE 1 YEAR AGO - Abroad
SOCIAL	SOCIAL-HC01_VC128	Estimate; PLACE OF BIRTH - Total population
SOCIAL	SOCIAL-HC03_VC128	Percent; PLACE OF BIRTH - Total population
SOCIAL	SOCIAL-HC01_VC129	Estimate; PLACE OF BIRTH - Native
SOCIAL	SOCIAL-HC02_VC129	Margin of Error; PLACE OF BIRTH - Native
SOCIAL	SOCIAL-HC03_VC129	Percent; PLACE OF BIRTH - Native
SOCIAL	SOCIAL-HC04_VC129	Percent Margin of Error; PLACE OF BIRTH - Native
SOCIAL	SOCIAL-HC01_VC130	Estimate; PLACE OF BIRTH - Native - Born in United States
SOCIAL	SOCIAL-HC02_VC130	Margin of Error; PLACE OF BIRTH - Native - Born in United States
SOCIAL	SOCIAL-HC03_VC130	Percent; PLACE OF BIRTH - Native - Born in United States
SOCIAL	SOCIAL-HC04_VC130	Percent Margin of Error; PLACE OF BIRTH - Native - Born in United States
SOCIAL	SOCIAL-HC01_VC131	Estimate; PLACE OF BIRTH - Native - Born in United States - State of residence
SOCIAL	SOCIAL-HC02_VC131	Margin of Error; PLACE OF BIRTH - Native - Born in United States - State of residence
SOCIAL	SOCIAL-HC03_VC131	Percent; PLACE OF BIRTH - Native - Born in United States - State of residence
SOCIAL	SOCIAL-HC04_VC131	Percent Margin of Error; PLACE OF BIRTH - Native - Born in United States - State of residence
SOCIAL	SOCIAL-HC01_VC132	Estimate; PLACE OF BIRTH - Native - Born in United States - Different state
SOCIAL	SOCIAL-HC02_VC132	Margin of Error; PLACE OF BIRTH - Native - Born in United States - Different state
SOCIAL	SOCIAL-HC03_VC132	Percent; PLACE OF BIRTH - Native - Born in United States - Different state
SOCIAL	SOCIAL-HC04_VC132	Percent Margin of Error; PLACE OF BIRTH - Native - Born in United States - Different state
SOCIAL	SOCIAL-HC01_VC133	"Estimate; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
SOCIAL	SOCIAL-HC02_VC133	"Margin of Error; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
SOCIAL	SOCIAL-HC03_VC133	"Percent; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
SOCIAL	SOCIAL-HC04_VC133	"Percent Margin of Error; PLACE OF BIRTH - Native - Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)"
SOCIAL	SOCIAL-HC01_VC134	Estimate; PLACE OF BIRTH - Foreign born
SOCIAL	SOCIAL-HC02_VC134	Margin of Error; PLACE OF BIRTH - Foreign born
SOCIAL	SOCIAL-HC03_VC134	Percent; PLACE OF BIRTH - Foreign born
SOCIAL	SOCIAL-HC04_VC134	Percent Margin of Error; PLACE OF BIRTH - Foreign born
SOCIAL	SOCIAL-HC01_VC138	Estimate; U.S. CITIZENSHIP STATUS - Foreign-born population
SOCIAL	SOCIAL-HC02_VC138	Margin of Error; U.S. CITIZENSHIP STATUS - Foreign-born population
SOCIAL	SOCIAL-HC03_VC138	Percent; U.S. CITIZENSHIP STATUS - Foreign-born population
SOCIAL	SOCIAL-HC01_VC139	Estimate; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen
SOCIAL	SOCIAL-HC02_VC139	Margin of Error; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen
SOCIAL	SOCIAL-HC03_VC139	Percent; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen
SOCIAL	SOCIAL-HC04_VC139	Percent Margin of Error; U.S. CITIZENSHIP STATUS - Naturalized U.S. citizen
SOCIAL	SOCIAL-HC01_VC140	Estimate; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
SOCIAL	SOCIAL-HC02_VC140	Margin of Error; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
SOCIAL	SOCIAL-HC03_VC140	Percent; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
SOCIAL	SOCIAL-HC04_VC140	Percent Margin of Error; U.S. CITIZENSHIP STATUS - Not a U.S. citizen
SOCIAL	SOCIAL-HC01_VC144	Estimate; YEAR OF ENTRY - Population born outside the United States
SOCIAL	SOCIAL-HC02_VC144	Margin of Error; YEAR OF ENTRY - Population born outside the United States
SOCIAL	SOCIAL-HC03_VC144	Percent; YEAR OF ENTRY - Population born outside the United States
SOCIAL	SOCIAL-HC01_VC146	Estimate; YEAR OF ENTRY - Native
SOCIAL	SOCIAL-HC02_VC146	Margin of Error; YEAR OF ENTRY - Native
SOCIAL	SOCIAL-HC03_VC146	Percent; YEAR OF ENTRY - Native
SOCIAL	SOCIAL-HC01_VC147	Estimate; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC02_VC147	Margin of Error; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC03_VC147	Percent; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC04_VC147	Percent Margin of Error; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC01_VC148	Estimate; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC02_VC148	Margin of Error; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC03_VC148	Percent; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC04_VC148	Percent Margin of Error; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC01_VC150	Estimate; YEAR OF ENTRY - Foreign born
SOCIAL	SOCIAL-HC02_VC150	Margin of Error; YEAR OF ENTRY - Foreign born
SOCIAL	SOCIAL-HC03_VC150	Percent; YEAR OF ENTRY - Foreign born
SOCIAL	SOCIAL-HC01_VC151	Estimate; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC02_VC151	Margin of Error; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC03_VC151	Percent; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC04_VC151	Percent Margin of Error; YEAR OF ENTRY - Entered 2010 or later
SOCIAL	SOCIAL-HC01_VC152	Estimate; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC02_VC152	Margin of Error; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC03_VC152	Percent; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC04_VC152	Percent Margin of Error; YEAR OF ENTRY - Entered before 2010
SOCIAL	SOCIAL-HC01_VC156	"Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
SOCIAL	SOCIAL-HC02_VC156	"Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
SOCIAL	SOCIAL-HC03_VC156	"Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Foreign-born population, excluding population born at sea"
SOCIAL	SOCIAL-HC01_VC157	Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
SOCIAL	SOCIAL-HC02_VC157	Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
SOCIAL	SOCIAL-HC03_VC157	Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
SOCIAL	SOCIAL-HC04_VC157	Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Europe
SOCIAL	SOCIAL-HC01_VC158	Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
SOCIAL	SOCIAL-HC02_VC158	Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
SOCIAL	SOCIAL-HC03_VC158	Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
SOCIAL	SOCIAL-HC04_VC158	Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Asia
SOCIAL	SOCIAL-HC01_VC159	Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
SOCIAL	SOCIAL-HC02_VC159	Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
SOCIAL	SOCIAL-HC03_VC159	Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
SOCIAL	SOCIAL-HC04_VC159	Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
SOCIAL	SOCIAL-HC01_VC160	Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
SOCIAL	SOCIAL-HC02_VC160	Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
SOCIAL	SOCIAL-HC03_VC160	Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
SOCIAL	SOCIAL-HC04_VC160	Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
SOCIAL	SOCIAL-HC01_VC161	Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
SOCIAL	SOCIAL-HC02_VC161	Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
SOCIAL	SOCIAL-HC03_VC161	Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
SOCIAL	SOCIAL-HC04_VC161	Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
SOCIAL	SOCIAL-HC01_VC162	Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
SOCIAL	SOCIAL-HC02_VC162	Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
SOCIAL	SOCIAL-HC03_VC162	Percent; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
SOCIAL	SOCIAL-HC04_VC162	Percent Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
SOCIAL	SOCIAL-HC01_VC166	Estimate; LANGUAGE SPOKEN AT HOME - Population 5 years and over
SOCIAL	SOCIAL-HC02_VC166	Margin of Error; LANGUAGE SPOKEN AT HOME - Population 5 years and over
SOCIAL	SOCIAL-HC03_VC166	Percent; LANGUAGE SPOKEN AT HOME - Population 5 years and over
SOCIAL	SOCIAL-HC01_VC167	Estimate; LANGUAGE SPOKEN AT HOME - English only
SOCIAL	SOCIAL-HC02_VC167	Margin of Error; LANGUAGE SPOKEN AT HOME - English only
SOCIAL	SOCIAL-HC03_VC167	Percent; LANGUAGE SPOKEN AT HOME - English only
SOCIAL	SOCIAL-HC04_VC167	Percent Margin of Error; LANGUAGE SPOKEN AT HOME - English only
SOCIAL	SOCIAL-HC01_VC168	Estimate; LANGUAGE SPOKEN AT HOME - Language other than English
SOCIAL	SOCIAL-HC02_VC168	Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English
SOCIAL	SOCIAL-HC03_VC168	Percent; LANGUAGE SPOKEN AT HOME - Language other than English
SOCIAL	SOCIAL-HC04_VC168	Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English
SOCIAL	SOCIAL-HC01_VC170	"Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC02_VC170	"Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC03_VC170	"Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC04_VC170	"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC01_VC171	Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish
SOCIAL	SOCIAL-HC02_VC171	Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish
SOCIAL	SOCIAL-HC03_VC171	Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish
SOCIAL	SOCIAL-HC04_VC171	Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish
SOCIAL	SOCIAL-HC01_VC172	"Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC02_VC172	"Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC03_VC172	"Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC04_VC172	"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Spanish - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC01_VC173	Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages
SOCIAL	SOCIAL-HC02_VC173	Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages
SOCIAL	SOCIAL-HC03_VC173	Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages
SOCIAL	SOCIAL-HC04_VC173	Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages
SOCIAL	SOCIAL-HC01_VC174	"Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC02_VC174	"Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC03_VC174	"Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC04_VC174	"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other Indo-European languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC01_VC175	Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages
SOCIAL	SOCIAL-HC02_VC175	Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages
SOCIAL	SOCIAL-HC03_VC175	Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages
SOCIAL	SOCIAL-HC04_VC175	Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages
SOCIAL	SOCIAL-HC01_VC176	"Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC02_VC176	"Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC03_VC176	"Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC04_VC176	"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Asian and Pacific Islander languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC01_VC177	Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages
SOCIAL	SOCIAL-HC02_VC177	Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages
SOCIAL	SOCIAL-HC03_VC177	Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages
SOCIAL	SOCIAL-HC04_VC177	Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages
SOCIAL	SOCIAL-HC01_VC178	"Estimate; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC02_VC178	"Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC03_VC178	"Percent; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC04_VC178	"Percent Margin of Error; LANGUAGE SPOKEN AT HOME - Language other than English - Other languages - Speak English less than ""very well"""
SOCIAL	SOCIAL-HC01_VC182	Estimate; ANCESTRY - Total population
SOCIAL	SOCIAL-HC03_VC182	Percent; ANCESTRY - Total population
SOCIAL	SOCIAL-HC01_VC183	Estimate; ANCESTRY - American
SOCIAL	SOCIAL-HC02_VC183	Margin of Error; ANCESTRY - American
SOCIAL	SOCIAL-HC03_VC183	Percent; ANCESTRY - American
SOCIAL	SOCIAL-HC04_VC183	Percent Margin of Error; ANCESTRY - American
SOCIAL	SOCIAL-HC01_VC184	Estimate; ANCESTRY - Arab
SOCIAL	SOCIAL-HC02_VC184	Margin of Error; ANCESTRY - Arab
SOCIAL	SOCIAL-HC03_VC184	Percent; ANCESTRY - Arab
SOCIAL	SOCIAL-HC04_VC184	Percent Margin of Error; ANCESTRY - Arab
SOCIAL	SOCIAL-HC01_VC185	Estimate; ANCESTRY - Czech
SOCIAL	SOCIAL-HC02_VC185	Margin of Error; ANCESTRY - Czech
SOCIAL	SOCIAL-HC03_VC185	Percent; ANCESTRY - Czech
SOCIAL	SOCIAL-HC04_VC185	Percent Margin of Error; ANCESTRY - Czech
SOCIAL	SOCIAL-HC01_VC186	Estimate; ANCESTRY - Danish
SOCIAL	SOCIAL-HC02_VC186	Margin of Error; ANCESTRY - Danish
SOCIAL	SOCIAL-HC03_VC186	Percent; ANCESTRY - Danish
SOCIAL	SOCIAL-HC04_VC186	Percent Margin of Error; ANCESTRY - Danish
SOCIAL	SOCIAL-HC01_VC187	Estimate; ANCESTRY - Dutch
SOCIAL	SOCIAL-HC02_VC187	Margin of Error; ANCESTRY - Dutch
SOCIAL	SOCIAL-HC03_VC187	Percent; ANCESTRY - Dutch
SOCIAL	SOCIAL-HC04_VC187	Percent Margin of Error; ANCESTRY - Dutch
SOCIAL	SOCIAL-HC01_VC188	Estimate; ANCESTRY - English
SOCIAL	SOCIAL-HC02_VC188	Margin of Error; ANCESTRY - English
SOCIAL	SOCIAL-HC03_VC188	Percent; ANCESTRY - English
SOCIAL	SOCIAL-HC04_VC188	Percent Margin of Error; ANCESTRY - English
SOCIAL	SOCIAL-HC01_VC189	Estimate; ANCESTRY - French (except Basque)
SOCIAL	SOCIAL-HC02_VC189	Margin of Error; ANCESTRY - French (except Basque)
SOCIAL	SOCIAL-HC03_VC189	Percent; ANCESTRY - French (except Basque)
SOCIAL	SOCIAL-HC04_VC189	Percent Margin of Error; ANCESTRY - French (except Basque)
SOCIAL	SOCIAL-HC01_VC190	Estimate; ANCESTRY - French Canadian
SOCIAL	SOCIAL-HC02_VC190	Margin of Error; ANCESTRY - French Canadian
SOCIAL	SOCIAL-HC03_VC190	Percent; ANCESTRY - French Canadian
SOCIAL	SOCIAL-HC04_VC190	Percent Margin of Error; ANCESTRY - French Canadian
SOCIAL	SOCIAL-HC01_VC191	Estimate; ANCESTRY - German
SOCIAL	SOCIAL-HC02_VC191	Margin of Error; ANCESTRY - German
SOCIAL	SOCIAL-HC03_VC191	Percent; ANCESTRY - German
SOCIAL	SOCIAL-HC04_VC191	Percent Margin of Error; ANCESTRY - German
SOCIAL	SOCIAL-HC01_VC192	Estimate; ANCESTRY - Greek
SOCIAL	SOCIAL-HC02_VC192	Margin of Error; ANCESTRY - Greek
SOCIAL	SOCIAL-HC03_VC192	Percent; ANCESTRY - Greek
SOCIAL	SOCIAL-HC04_VC192	Percent Margin of Error; ANCESTRY - Greek
SOCIAL	SOCIAL-HC01_VC193	Estimate; ANCESTRY - Hungarian
SOCIAL	SOCIAL-HC02_VC193	Margin of Error; ANCESTRY - Hungarian
SOCIAL	SOCIAL-HC03_VC193	Percent; ANCESTRY - Hungarian
SOCIAL	SOCIAL-HC04_VC193	Percent Margin of Error; ANCESTRY - Hungarian
SOCIAL	SOCIAL-HC01_VC194	Estimate; ANCESTRY - Irish
SOCIAL	SOCIAL-HC02_VC194	Margin of Error; ANCESTRY - Irish
SOCIAL	SOCIAL-HC03_VC194	Percent; ANCESTRY - Irish
SOCIAL	SOCIAL-HC04_VC194	Percent Margin of Error; ANCESTRY - Irish
SOCIAL	SOCIAL-HC01_VC195	Estimate; ANCESTRY - Italian
SOCIAL	SOCIAL-HC02_VC195	Margin of Error; ANCESTRY - Italian
SOCIAL	SOCIAL-HC03_VC195	Percent; ANCESTRY - Italian
SOCIAL	SOCIAL-HC04_VC195	Percent Margin of Error; ANCESTRY - Italian
SOCIAL	SOCIAL-HC01_VC196	Estimate; ANCESTRY - Lithuanian
SOCIAL	SOCIAL-HC02_VC196	Margin of Error; ANCESTRY - Lithuanian
SOCIAL	SOCIAL-HC03_VC196	Percent; ANCESTRY - Lithuanian
SOCIAL	SOCIAL-HC04_VC196	Percent Margin of Error; ANCESTRY - Lithuanian
SOCIAL	SOCIAL-HC01_VC197	Estimate; ANCESTRY - Norwegian
SOCIAL	SOCIAL-HC02_VC197	Margin of Error; ANCESTRY - Norwegian
SOCIAL	SOCIAL-HC03_VC197	Percent; ANCESTRY - Norwegian
SOCIAL	SOCIAL-HC04_VC197	Percent Margin of Error; ANCESTRY - Norwegian
